CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,OnlineSecurity,TechSupport,PaymentMethod,CallDuration,Complaints,RechargeFrequency,Churn,ChurnProbability,Segment
CUST-00001,Male,0,11,68.97,755.64,Month-to-Month,Fiber Optic,No,Yes,Electronic Check,512.9,0,5,0,0.2488,Dormant
CUST-00002,Female,0,9,94.17,751.68,Month-to-Month,Fiber Optic,Yes,Yes,Credit Card,311.9,0,6,0,0.4274,Dormant
CUST-00003,Female,1,4,75.39,277.23,One Year,No,No Internet Service,No Internet Service,Credit Card,141.4,1,3,0,0.264,Dormant
CUST-00004,Female,0,22,26.5,572.89,Two Year,DSL,Yes,Yes,Credit Card,449.9,3,4,0,0.2458,Dormant
CUST-00005,Male,1,15,36.93,524.27,One Year,Fiber Optic,No,Yes,Electronic Check,268.6,3,8,1,0.3024,Dormant
CUST-00006,Male,0,48,40.37,1933.33,Month-to-Month,Fiber Optic,Yes,Yes,Bank Transfer,368.9,3,4,1,0.6608,At Risk
CUST-00007,Male,0,1,44.3,46.17,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,91.1,3,2,1,0.8213,At Risk
CUST-00008,Female,1,24,75.67,1586.0,Month-to-Month,Fiber Optic,No,No,Bank Transfer,390.0,0,8,0,0.2631,Dormant
CUST-00009,Female,0,34,69.4,2340.52,Month-to-Month,Fiber Optic,No,No,Electronic Check,242.9,0,2,1,0.6122,At Risk
CUST-00010,Female,0,34,38.72,1179.66,Month-to-Month,DSL,No,Yes,Bank Transfer,220.5,2,4,0,0.2874,Dormant
CUST-00011,Male,0,52,24.89,1207.43,Two Year,Fiber Optic,No,No,Bank Transfer,588.6,1,3,0,0.1562,Loyal
CUST-00012,Female,0,31,35.49,942.39,One Year,No,No Internet Service,No Internet Service,Bank Transfer,276.5,3,10,0,0.1219,Loyal
CUST-00013,Female,0,63,118.41,6543.62,One Year,No,No Internet Service,No Internet Service,Credit Card,416.5,5,4,1,0.6857,At Risk
CUST-00014,Male,0,9,65.79,541.16,Month-to-Month,Fiber Optic,No,No,Electronic Check,387.8,0,5,0,0.2562,Dormant
CUST-00015,Male,0,16,106.47,1564.51,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,319.15,1,5,0,0.2684,Dormant
CUST-00016,Male,0,1,104.57,107.7,One Year,No,No Internet Service,No Internet Service,Mailed Check,456.3,1,5,0,0.2408,Dormant
CUST-00017,Male,0,1,70.17,70.06,Two Year,DSL,Yes,No,Electronic Check,214.2,2,5,0,0.5706,At Risk
CUST-00018,Female,0,6,90.08,564.5,One Year,DSL,Yes,No,Electronic Check,485.4,2,9,1,0.6854,At Risk
CUST-00019,Male,0,2,37.66,73.05,Two Year,Fiber Optic,No,Yes,Electronic Check,376.4,0,3,0,0.1559,Loyal
CUST-00020,Male,1,7,88.22,554.76,Two Year,DSL,No,No,Credit Card,210.7,3,2,1,0.7312,At Risk
CUST-00021,Female,0,4,45.78,167.65,Month-to-Month,No,No Internet Service,No Internet Service,Credit Card,233.1,1,2,0,0.3084,Dormant
CUST-00022,Male,0,1,102.87,94.02,Month-to-Month,Fiber Optic,No,No,Electronic Check,447.0,0,4,1,0.6575,At Risk
CUST-00023,Male,1,57,26.54,1384.65,One Year,Fiber Optic,Yes,No,Electronic Check,343.5,2,11,0,0.1393,Loyal
CUST-00024,Male,0,1,96.86,95.37,Month-to-Month,Fiber Optic,No,No,Electronic Check,411.0,1,7,0,0.491,Dormant
CUST-00025,Male,1,31,28.19,835.58,Month-to-Month,Fiber Optic,Yes,Yes,Mailed Check,120.2,1,3,1,0.5359,At Risk
CUST-00026,Female,0,3,107.88,323.64,Month-to-Month,Fiber Optic,No,No,Bank Transfer,478.6,2,8,1,0.8626,At Risk
CUST-00027,Male,0,58,49.03,2501.97,Month-to-Month,DSL,Yes,Yes,Electronic Check,212.6,3,1,1,0.7448,At Risk
CUST-00028,Female,0,53,84.75,3837.88,Two Year,Fiber Optic,Yes,Yes,Bank Transfer,319.15,2,4,0,0.216,Dormant
CUST-00029,Female,0,25,67.73,1513.37,Month-to-Month,DSL,No,No,Electronic Check,95.4,2,7,1,0.6946,At Risk
CUST-00030,Male,0,26,55.36,1254.39,Month-to-Month,DSL,No,No,Credit Card,213.2,2,3,1,0.7436,At Risk
CUST-00031,Female,0,1,83.84,84.43,One Year,Fiber Optic,No,No,Credit Card,399.9,3,9,1,0.5984,At Risk
CUST-00032,Male,0,72,114.65,7202.31,One Year,DSL,Yes,No,Credit Card,186.3,1,4,0,0.0553,Loyal
CUST-00033,Male,0,50,22.21,1104.78,One Year,No,No Internet Service,No Internet Service,Electronic Check,531.8,3,5,0,0.1827,Loyal
CUST-00034,Female,0,54,111.72,5593.27,Two Year,Fiber Optic,No,No,Mailed Check,406.9,3,5,1,0.6294,At Risk
CUST-00035,Female,0,25,80.13,1732.16,Two Year,No,No Internet Service,No Internet Service,Electronic Check,526.1,3,4,0,0.4961,Dormant
CUST-00036,Female,0,10,100.35,1016.09,One Year,DSL,Yes,No,Bank Transfer,255.4,3,9,0,0.1876,Loyal
CUST-00037,Male,0,53,57.16,2926.25,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,49.4,4,4,0,0.4285,Dormant
CUST-00038,Male,1,8,66.13,529.04,Month-to-Month,DSL,No,No,Bank Transfer,358.4,1,4,0,0.4012,Dormant
CUST-00039,Female,0,19,106.62,2084.4,One Year,DSL,Yes,No,Bank Transfer,223.3,1,2,0,0.2575,Dormant
CUST-00040,Male,1,2,60.31,103.62,Two Year,DSL,No,No,Bank Transfer,285.5,1,5,0,0.3173,Dormant
CUST-00041,Male,0,61,72.54,3939.81,Two Year,Fiber Optic,No,No,Credit Card,418.2,1,3,0,0.0672,Loyal
CUST-00042,Male,0,3,20.06,60.2,One Year,DSL,No,No,Mailed Check,429.4,1,7,1,0.5834,At Risk
CUST-00043,Male,0,6,34.18,205.07999999999998,One Year,Fiber Optic,No,No,Electronic Check,45.7,0,4,1,0.6517,At Risk
CUST-00044,Female,0,19,83.45,1439.45,Month-to-Month,DSL,No,Yes,Bank Transfer,468.5,2,8,0,0.3654,Dormant
CUST-00045,Male,0,34,91.13,2672.09,Month-to-Month,DSL,Yes,Yes,Credit Card,311.3,0,6,0,0.2657,Dormant
CUST-00046,Female,0,23,77.43,1819.39,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,347.3,1,1,0,0.2535,Dormant
CUST-00047,Male,0,6,32.62,178.64,Month-to-Month,DSL,No,Yes,Bank Transfer,199.9,0,3,0,0.2212,Dormant
CUST-00048,Female,0,1,63.43,56.4,Month-to-Month,Fiber Optic,Yes,No,Credit Card,269.9,2,6,1,0.8842,At Risk
CUST-00049,Female,0,33,54.22,1705.54,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,434.9,0,4,0,0.2143,Dormant
CUST-00050,Male,0,72,68.56,5094.51,One Year,No,No Internet Service,No Internet Service,Credit Card,472.7,0,2,0,0.0799,Loyal
CUST-00051,Female,0,39,106.77,3575.69,One Year,Fiber Optic,No,No,Electronic Check,250.7,1,4,0,0.168,Loyal
CUST-00052,Female,0,14,97.14,1364.26,One Year,No,No Internet Service,No Internet Service,Mailed Check,423.9,2,3,0,0.3047,Dormant
CUST-00053,Female,0,56,26.57,1435.09,Month-to-Month,Fiber Optic,No,No,Electronic Check,177.1,2,3,0,0.4408,Dormant
CUST-00054,Female,0,12,108.81,1220.97,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,504.3,3,4,0,0.6685,At Risk
CUST-00055,Female,0,17,66.12,1122.71,Two Year,DSL,Yes,No,Electronic Check,377.6,1,12,0,0.1814,Loyal
CUST-00056,Female,0,15,93.87,1468.83,Month-to-Month,Fiber Optic,Yes,No,Electronic Check,471.9,2,5,1,0.6014,At Risk
CUST-00057,Male,0,14,32.28,404.85,Two Year,No,No Internet Service,No Internet Service,Electronic Check,302.0,2,7,0,0.1478,Loyal
CUST-00058,Male,0,35,86.41,2657.59,Month-to-Month,DSL,Yes,Yes,Electronic Check,160.6,1,4,0,0.3482,Dormant
CUST-00059,Male,0,17,42.11,739.19,One Year,Fiber Optic,No,No,Electronic Check,274.7,1,4,1,0.4435,Dormant
CUST-00060,Male,0,9,62.71,555.24,Month-to-Month,No,No Internet Service,No Internet Service,Credit Card,247.4,1,2,1,0.6225,At Risk
CUST-00061,Male,1,7,19.72,129.43,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,219.6,4,6,1,0.6669,At Risk
CUST-00062,Male,1,1,33.46,32.28,Month-to-Month,DSL,No,No,Mailed Check,150.9,2,4,0,0.3301,Dormant
CUST-00063,Female,0,21,27.39,574.69,One Year,Fiber Optic,No,Yes,Electronic Check,462.7,0,0,0,0.2767,Dormant
CUST-00064,Male,0,6,42.45,255.87,Month-to-Month,DSL,No,No,Electronic Check,79.2,2,5,1,0.8398,At Risk
CUST-00065,Male,0,3,28.2,87.47,One Year,No,No Internet Service,No Internet Service,Credit Card,535.9,3,2,1,0.6742,At Risk
CUST-00066,Female,0,25,88.57,2071.14,Month-to-Month,DSL,No,No,Credit Card,129.8,1,8,1,0.6607,At Risk
CUST-00067,Male,0,27,20.96,565.9200000000001,Month-to-Month,DSL,No,No,Credit Card,588.5,4,6,1,0.7419,At Risk
CUST-00068,Female,0,33,81.01,2614.34,Two Year,DSL,Yes,Yes,Mailed Check,593.4,0,5,0,0.1195,Loyal
CUST-00069,Male,1,16,32.35,483.0,Two Year,Fiber Optic,No,No,Electronic Check,257.1,2,7,0,0.1485,Loyal
CUST-00070,Female,0,53,114.41,5875.27,One Year,No,No Internet Service,No Internet Service,Electronic Check,593.1,3,4,0,0.2956,Dormant
